ep (ms);Acc_x;Acc_y;Acc_z;Gyro_x;Gyro_y;Gyro_z;ID;Label;Category;Set
2019-01-11 15:10:19.200;-0.19000000000000003;0.955;-0.141;-2.244;573.505.539;28.414;A;bench;heavy;86
2019-01-11 15:10:19.400;-0.17099999999999999;0.977;-0.147;-192.421.885;-66.096;158.416;A;bench;heavy;86
2019-01-11 15:10:19.600;-0.11466666666666665;0.9883333333333333;-0.11599999999999999;-23.695;84.636;279.026;A;bench;heavy;86
2019-01-11 15:10:19.800;-0.0115;0.8105;-0.0905;-0.5122;8.5;18.061;A;bench;heavy;86
2019-01-11 15:10:20.000;0.017666666666666667;0.9476666666666667;-0.07833333333333334;105.366;-107.194;-3.561;A;bench;heavy;86
2019-01-11 15:10:20.200;0.002;0.933;-0.1125;30.002;-39.878;-0.35379999999999995;A;bench;heavy;86
2019-01-11 15:10:20.400;-0.004;0.9743333333333334;-0.09800000000000002;30.002;-43.294;-26.218;A;bench;heavy;86
2019-01-11 15:10:20.600;-0.01;0.9635;-0.10350000000000001;2.378;-1.014.808.571;-25.732;A;bench;heavy;86
2019-01-11 15:10:20.800;-0.024666666666666667;0.8809999999999999;-0.1426666666666667;1.764.020.226;-6.561;-127.438;A;bench;heavy;86
2019-01-11 15:10:21.000;-0.0785;0.847;-0.1905;447.778.814;-56.952;-184.756;A;bench;heavy;86
2019-01-11 15:10:21.200;-0.124;0.8733333333333334;-0.229;161.338;-114.512;-8.378;A;bench;heavy;86
2019-01-11 15:10:21.400;-0.17149999999999999;0.908;-0.21999999999999997;-110.244;-171.096;10.732;A;bench;heavy;86
2019-01-11 15:10:21.600;-0.17400000000000002;-717.296.981;-0.15333333333333335;737.001.467;-164.026;219.026;A;bench;heavy;86
2019-01-11 15:10:21.800;-0.2195;-956.723.201;-0.109;-75.244;186.706;-226.828;A;bench;heavy;86
2019-01-11 15:10:22.000;-0.19200000000000003;0.8716666666666667;-0.15566666666666665;26.098;1.779.380.223;934.457.346;A;bench;heavy;86
2019-01-11 15:10:22.200;-0.227;0.891;-0.16999999999999998;53.902;4.0;-0.37799999999999995;A;bench;heavy;86
2019-01-11 15:10:22.400;-0.22;0.9250000000000002;-0.20566666666666666;4.756;-0.04860000000000007;91.828;A;bench;heavy;86
2019-01-11 15:10:22.600;-0.186;0.9445;-0.2175;-0.24359999999999998;-64.512;131.952;A;bench;heavy;86
2019-01-11 15:10:22.800;-0.14466666666666667;0.951;-0.17433333333333334;-87.196;1.108.991.997;171.098;A;bench;heavy;86
2019-01-11 15:10:23.000;-0.08;0.952;-0.14700000000000002;-12.305;229.089.276;207.196;A;bench;heavy;86
2019-01-11 15:10:23.200;-0.034999999999999996;0.9223333333333333;-0.10566666666666667;-114.512;48.904;22.561;A;bench;heavy;86
2019-01-11 15:10:23.400;0.026000000000000002;0.8634999999999999;-0.10200000000000001;101.586;1.081.163.774;1.931.927.549;A;bench;heavy;86
2019-01-11 15:10:23.600;0.05466666666666667;0.975;-0.11699999999999999;13.778;-0.19500000000000006;12.196;A;bench;heavy;86
2019-01-11 15:10:23.800;0.055;0.978;-0.119;-1.826.750.462;-14.514;-19.148;A;bench;heavy;86
2019-01-11 15:10:24.000;0.03866666666666667;0.9676666666666667;-0.09999999999999999;-0.21939999999999996;-49.756;-38.658;A;bench;heavy;86
2019-01-11 15:10:24.200;0.018500000000000003;0.9724999999999999;-0.083;0.7924;812.744.703;0.622;A;bench;heavy;86
2019-01-11 15:10:24.400;0.019666666666666666;0.9703333333333334;-0.07966666666666666;2.133.696.509;0.5851999999999999;-908.025.860;A;bench;heavy;86
2019-01-11 15:10:24.600;0.0095;0.9575;-0.088;41.462;-526.942.203;-1.826.201.596;A;bench;heavy;86
2019-01-11 15:10:24.800;0.021;0.966;-0.108;-1.251.364.868;0.5485;426.037.251;A;bench;heavy;86
2019-01-11 15:12:05.200;0.0325;0.98;0.0235;8.378;29.433.859;12.196;B;bench;heavy;83
2019-01-11 15:12:05.400;0.002;0.8535;-0.028499999999999998;127.928;2.094.366.723;-177.562;B;bench;heavy;83
2019-01-11 15:12:05.600;-0.06766666666666667;0.7949999999999999;-0.09233333333333334;162.717.692;40.488;-345.244;B;bench;heavy;83
2019-01-11 15:12:05.800;-0.21200000000000002;0.901;-0.16749999999999998;-1.377.959.929;27.074;-299.146;B;bench;heavy;83
2019-01-11 15:12:06.000;-0.2456666666666667;0.9076666666666666;-0.11333333333333334;-101.708;-13.878;195.368;B;bench;heavy;83
2019-01-11 15:12:06.200;-0.241;11.655;-0.008;-241.096;-187.804;23.512;B;bench;heavy;83
2019-01-11 15:12:06.400;-0.216;-1.839.142.230;0.010333333333333333;26.183;108.414;-229.146;B;bench;heavy;83
2019-01-11 15:12:06.600;-0.23149999999999998;0.894;-0.0775;34.146;-1.080.360.957;-187.196;B;bench;heavy;83
2019-01-11 15:12:06.800;-0.26699999999999996;0.9233333333333333;-0.11833333333333333;90.366;-6.5;41.708;B;bench;heavy;83
2019-01-11 15:12:07.000;-0.252;0.9325;-0.0955;0.6341999999999999;879.648.766;-495.407.102;B;bench;heavy;83
2019-01-11 15:12:07.200;-0.2346666666666667;-1.450.475.522;-0.08666666666666667;-212.926;-84.024;256.098;B;bench;heavy;83
2019-01-11 15:12:07.400;-0.1155;0.8815;0.022;-302.562;-41.218;348.658;B;bench;heavy;83
2019-01-11 15:12:07.600;-0.005;0.7746666666666666;-0.01466666666666667;92.196;-30.366;-90.366;B;bench;heavy;83
2019-01-11 15:12:07.800;-0.066;1.048;0.0245;66.586;373.596.163;0.5853999999999997;B;bench;heavy;83
2019-01-11 15:12:08.000;-0.09133333333333334;0.6786666666666666;-0.035333333333333335;1.992.728.573;187.316;-425.366;B;bench;heavy;83
2019-01-11 15:12:08.200;-0.16649999999999998;0.9279999999999999;-0.156;194.026;-20.854;-174.754;B;bench;heavy;83
2019-01-11 15:12:08.400;-0.2703333333333333;0.9369999999999999;-0.09700000000000002;-193.414;-61.218;112.684;B;bench;heavy;83
2019-01-11 15:12:08.600;-0.323;1.216;0.025500000000000002;-262.682;-117.928;94.636;B;bench;heavy;83
2019-01-11 15:12:08.800;-0.2813333333333333;-404.810.410;-0.013333333333333334;44.744;134.512;-106.828;B;bench;heavy;83
2019-01-11 15:12:09.000;-0.23099999999999998;0.8665;-0.122;104.634;-73.904;-47.564;B;bench;heavy;83
2019-01-11 15:12:09.200;-0.245;0.9423333333333334;-0.19233333333333333;-88.294;39.878;793.755.650;B;bench;heavy;83
2019-01-11 15:12:09.400;-0.22549999999999998;0.9325;-0.115;-39.878;-61.708;206.586;B;bench;heavy;83
2019-01-11 15:12:09.600;-0.15933333333333333;-1.336.292.695;-0.08766666666666667;-336.218;-104.876;330.854;B;bench;heavy;83
2019-01-11 15:12:09.800;-0.0655;0.671;0.013499999999999998;-113.782;-64.024;176.462;B;bench;heavy;83
2019-01-11 15:12:10.000;-0.011333333333333334;0.9803333333333334;0.023333333333333334;61.096;0.036600000000000056;-20.976;B;bench;heavy;83
2019-01-11 15:12:10.200;-0.020999999999999998;0.7265;-0.0265;221.098;127.804;-259.514;B;bench;heavy;83
2019-01-11 15:12:10.400;-0.11499999999999999;0.7046666666666667;-0.09566666666666666;254.998;-1.377.411.068;-389.146;B;bench;heavy;83
2019-01-11 15:12:10.600;-0.274;10.025;-0.1305;-94.756;-111.706;153.416;B;bench;heavy;83
2019-01-11 15:12:10.800;-0.24533333333333332;-1.234.152.108;0.004333333333333332;-37.122;-15.0;121.952;B;bench;heavy;83
2019-01-11 15:12:11.000;-0.2615;-228.540.415;0.07400000000000001;28.5;88.902;-166.828;B;bench;heavy;83
2019-01-11 15:12:11.200;-0.19733333333333333;0.823;-0.048666666666666664;109.024;2.028.265.473;-100.608;B;bench;heavy;83
2019-01-11 15:12:11.400;-0.24;0.9225;-0.10500000000000001;91.098;-295.993.348;794.558.467;B;bench;heavy;83
2019-01-11 15:12:11.600;-0.25466666666666665;0.963;-0.11266666666666665;-2.817;0.8416000000000002;0.5610000000000002;B;bench;heavy;83
2019-01-11 15:12:11.800;-0.2645;0.9715;-0.104;-54.878;-60.974;5.634;B;bench;heavy;83
2019-01-11 15:12:12.000;-0.218;0.9776666666666666;-0.06633333333333334;-157.196;-104.758;369.878;B;bench;heavy;83
;-0.104;0.862;0.0535;-152.684;-24.512;259.146;B;bench;heavy;83
;-0.002999999999999998;0.8396666666666667;-0.032999999999999995;64.146;1.847.091.205;-136.344;B;bench;heavy;83
2019-01-11 15:12:12.600;-0.0625;0.8460000000000001;-0.015;232.562;89.148;-191.708;B;bench;heavy;83
2019-01-11 15:12:12.800;-0.12566666666666668;0.703;-0.126;295.856;20.244;-353.658;B;bench;heavy;83
2019-01-11 15:12:13.000;-0.27849999999999997;0.9924999999999999;-0.151;-149.756;-12.317;-1.882.460.162;B;bench;heavy;83
2019-01-11 15:12:13.200;-0.2763333333333333;1.187;-0.03866666666666667;-32.317;-87.928;160.244;B;bench;heavy;83
2019-01-11 15:12:13.400;-0.2885;1.395;0.0395;256.462;89.268;-168.416;B;bench;heavy;83
2019-01-11 15:12:13.600;-0.206;0.8300000000000001;-0.08600000000000001;172.436;-81.708;-5.939;B;bench;heavy;83
2019-01-11 15:12:13.800;-0.2595;0.905;-0.11449999999999999;0.3780000000000001;59.268;-3.061;B;bench;heavy;83
2019-01-11 15:12:14.000;-0.26333333333333336;0.9513333333333334;-0.13066666666666668;-59.268;46.952;-601.587.707;B;bench;heavy;83
2019-01-11 15:12:14.200;-0.22;0.9664999999999999;-0.1325;44.756;-16.378;239.756;B;bench;heavy;83
